Speaker,URL,Start,End
Olaf Scholz,https://www.youtube.com/watch?v=hzwwk7BjqQU,00:03.000,00:13.000
Olaf Scholz,https://www.youtube.com/watch?v=hzwwk7BjqQU,00:15.000,00:24.000
Olaf Scholz,https://www.youtube.com/watch?v=hzwwk7BjqQU,02:24.000,02:34.000
Olaf Scholz,https://www.youtube.com/watch?v=hzwwk7BjqQU,02:34.000,02:43.000
Olaf Scholz,https://www.youtube.com/watch?v=hzwwk7BjqQU,02:59.000,03:07.000
Olaf Scholz,https://www.youtube.com/watch?v=hzwwk7BjqQU,03:08.000,03:21.000
Olaf Scholz,https://www.youtube.com/watch?v=MLIK9AjLo8k,00:10.000,00:24.000
Olaf Scholz,https://www.youtube.com/watch?v=MLIK9AjLo8k,00:41.000,01:04.000
Olaf Scholz,https://www.youtube.com/watch?v=MLIK9AjLo8k,01:24.000,01:36.000
Olaf Scholz,https://www.youtube.com/watch?v=fZzSicBn3HU,00:31.000,00:44.000
Olaf Scholz,https://www.youtube.com/watch?v=fZzSicBn3HU,00:44.000,00:56.000
Olaf Scholz,https://www.youtube.com/watch?v=fZzSicBn3HU,01:18.000,01:25.000
Olaf Scholz,https://www.youtube.com/watch?v=fZzSicBn3HU,01:25.000,01:37.000
Olaf Scholz,https://www.youtube.com/watch?v=fZzSicBn3HU,01:47.000,02:02.000
Olaf Scholz,https://www.youtube.com/watch?v=fZzSicBn3HU,02:02.000,02:17.000
Olaf Scholz,https://www.youtube.com/watch?v=gaVUZloxpg0,00:52.000,01:00.000
Olaf Scholz,https://www.youtube.com/watch?v=gaVUZloxpg0,01:59.000,02:18.000
Olaf Scholz,https://www.youtube.com/watch?v=gaVUZloxpg0,14:57.000,15:05.000
Olaf Scholz,https://www.youtube.com/watch?v=gaVUZloxpg0,01:25.000,01:41.000
Olaf Scholz,https://www.youtube.com/watch?v=gaVUZloxpg0,02:45.000,02:56.000
Olaf Scholz,https://www.youtube.com/watch?v=gaVUZloxpg0,08:44.000,08:56.000
Angela Merkel,https://www.youtube.com/watch?v=cDEwenlY9Xo,01:29.000,01:39.000
Angela Merkel,https://www.youtube.com/watch?v=cDEwenlY9Xo,01:39.000,01:52.000
Angela Merkel,https://www.youtube.com/watch?v=cDEwenlY9Xo,02:20.000,02:36.000
Angela Merkel,https://www.youtube.com/watch?v=cDEwenlY9Xo,02:55.000,03:09.000
Angela Merkel,https://www.youtube.com/watch?v=bUN64DqXnBU,01:40.000,01:48.000
Angela Merkel,https://www.youtube.com/watch?v=bUN64DqXnBU,02:22.000,02:35.000
Angela Merkel,https://www.youtube.com/watch?v=bUN64DqXnBU,02:35.000,02:46.000
Angela Merkel,https://www.youtube.com/watch?v=bUN64DqXnBU,13:22.000,13:35.000
Angela Merkel,https://www.youtube.com/watch?v=ARocveTYtqQ,04:33.000,04:42.000
Angela Merkel,https://www.youtube.com/watch?v=ARocveTYtqQ,05:12.000,05:24.000
Angela Merkel,https://www.youtube.com/watch?v=ARocveTYtqQ,05:32.000,05:49.000
Angela Merkel,https://www.youtube.com/watch?v=ARocveTYtqQ,06:10.000,06:33.000
Armin Laschet,https://www.youtube.com/watch?v=_3CtGjpwPrk,00:14.000,00:30.000
Armin Laschet,https://www.youtube.com/watch?v=_3CtGjpwPrk,00:37.000,01:06.000
Armin Laschet,https://www.youtube.com/watch?v=_3CtGjpwPrk,01:23.000,01:30.000
Armin Laschet,https://www.youtube.com/watch?v=_3CtGjpwPrk,01:42.000,01:53.000
Armin Laschet,https://www.youtube.com/watch?v=J83anXa5Gwo,00:29.000,00:41.000
Armin Laschet,https://www.youtube.com/watch?v=J83anXa5Gwo,01:03.000,01:12.000
Armin Laschet,https://www.youtube.com/watch?v=J83anXa5Gwo,01:12.000,01:22.000
Armin Laschet,https://www.youtube.com/watch?v=J83anXa5Gwo,04:10.000,04:24.000
Armin Laschet,https://www.youtube.com/watch?v=54mJcoGmFsw,01:13.000,01:23.000
Armin Laschet,https://www.youtube.com/watch?v=54mJcoGmFsw,02:04.000,02:14.000
Armin Laschet,https://www.youtube.com/watch?v=54mJcoGmFsw,02:14.000,02:36.000
Armin Laschet,https://www.youtube.com/watch?v=54mJcoGmFsw,02:50.000,03:09.000
Annalena Baerbock,https://www.youtube.com/watch?v=I6fyI9HP2tg,00:36.000,00:50.000
Annalena Baerbock,https://www.youtube.com/watch?v=I6fyI9HP2tg,01:08.000,01:20.000
Annalena Baerbock,https://www.youtube.com/watch?v=I6fyI9HP2tg,01:49.000,02:07.000
Annalena Baerbock,https://www.youtube.com/watch?v=I6fyI9HP2tg,02:27.000,02:47.000
Annalena Baerbock,https://www.youtube.com/watch?v=I6fyI9HP2tg,00:08.000,00:22.000
Annalena Baerbock,https://www.youtube.com/watch?v=I6fyI9HP2tg,00:34.000,00:46.000
Annalena Baerbock,https://www.youtube.com/watch?v=I6fyI9HP2tg,00:57.000,01:10.000
Annalena Baerbock,https://www.youtube.com/watch?v=I6fyI9HP2tg,01:27.000,01:40.000
Annalena Baerbock,https://www.youtube.com/watch?v=PPUReIUWM1M,08:20.000,08:32.000
Annalena Baerbock,https://www.youtube.com/watch?v=PPUReIUWM1M,08:39.000,08:51.000
Annalena Baerbock,https://www.youtube.com/watch?v=PPUReIUWM1M,09:09.000,09:23.000
Annalena Baerbock,https://www.youtube.com/watch?v=PPUReIUWM1M,09:37.000,09:57.000
Karl Lauterbach,https://www.youtube.com/watch?v=exAkNlNpGDE,02:54.000,03:06.000
Karl Lauterbach,https://www.youtube.com/watch?v=exAkNlNpGDE,03:56.000,04:03.000
Karl Lauterbach,https://www.youtube.com/watch?v=exAkNlNpGDE,04:14.000,04:27.000
Karl Lauterbach,https://www.youtube.com/watch?v=exAkNlNpGDE,04:37.000,04:53.000
Karl Lauterbach,https://www.youtube.com/watch?v=XeMBRvck9cg,00:41.000,00:51.000
Karl Lauterbach,https://www.youtube.com/watch?v=XeMBRvck9cg,00:51.000,01:02.000
Karl Lauterbach,https://www.youtube.com/watch?v=XeMBRvck9cg,01:45.000,01:56.000
Karl Lauterbach,https://www.youtube.com/watch?v=XeMBRvck9cg,01:56.000,02:06.000
Karl Lauterbach,https://www.youtube.com/watch?v=_bhCfF6EqlI,00:07.000,00:20.000
Karl Lauterbach,https://www.youtube.com/watch?v=_bhCfF6EqlI,00:24.000,00:35.000
Karl Lauterbach,https://www.youtube.com/watch?v=_bhCfF6EqlI,00:42.000,00:53.000
Karl Lauterbach,https://www.youtube.com/watch?v=_bhCfF6EqlI,01:01.000,01:20.000
Jens Georg Spahn,https://www.youtube.com/watch?v=S6JfZ4YmYv4,00:24.000,00:38.000
Jens Georg Spahn,https://www.youtube.com/watch?v=S6JfZ4YmYv4,00:54.000,01:14.000
Jens Georg Spahn,https://www.youtube.com/watch?v=S6JfZ4YmYv4,03:57.000,04:13.000
Jens Georg Spahn,https://www.youtube.com/watch?v=S6JfZ4YmYv4,04:53.000,05:07.000
Jens Georg Spahn,https://www.youtube.com/watch?v=6FmsgNrKx9Y,00:19.000,00:39.000
Jens Georg Spahn,https://www.youtube.com/watch?v=6FmsgNrKx9Y,00:50.000,01:17.000
Jens Georg Spahn,https://www.youtube.com/watch?v=6FmsgNrKx9Y,01:35.000,01:50.000
Jens Georg Spahn,https://www.youtube.com/watch?v=6FmsgNrKx9Y,02:36.000,02:49.000
Jens Georg Spahn,https://www.youtube.com/watch?v=69lnZPVYogs,00:40.000,01:00.000
Jens Georg Spahn,https://www.youtube.com/watch?v=69lnZPVYogs,01:32.000,01:53.000
Jens Georg Spahn,https://www.youtube.com/watch?v=69lnZPVYogs,02:15.000,02:46.000
Jens Georg Spahn,https://www.youtube.com/watch?v=69lnZPVYogs,03:12.000,03:25.000
Frank-Walter Steinmeier,https://www.youtube.com/watch?v=zsP-LJ7AMlc,00:10.000,00:27.000
Frank-Walter Steinmeier,https://www.youtube.com/watch?v=zsP-LJ7AMlc,01:07.000,01:29.000
Frank-Walter Steinmeier,https://www.youtube.com/watch?v=zsP-LJ7AMlc,02:25.000,02:37.000
Frank-Walter Steinmeier,https://www.youtube.com/watch?v=zsP-LJ7AMlc,03:04.000,03:19.000
Frank-Walter Steinmeier,https://www.youtube.com/watch?v=NVBG_6cgaoo,00:44.000,01:05.000
Frank-Walter Steinmeier,https://www.youtube.com/watch?v=NVBG_6cgaoo,01:06.000,01:17.000
Frank-Walter Steinmeier,https://www.youtube.com/watch?v=NVBG_6cgaoo,01:18.000,01:33.000
Frank-Walter Steinmeier,https://www.youtube.com/watch?v=NVBG_6cgaoo,01:34.000,01:56.000
Frank-Walter Steinmeier,https://www.youtube.com/watch?v=2E4xny7H0HA,00:31.000,00:38.000
Frank-Walter Steinmeier,https://www.youtube.com/watch?v=2E4xny7H0HA,00:39.000,00:46.000
Frank-Walter Steinmeier,https://www.youtube.com/watch?v=2E4xny7H0HA,01:45.000,01:54.000
Frank-Walter Steinmeier,https://www.youtube.com/watch?v=2E4xny7H0HA,04:46.000,05:12.000
Frank-Walter Steinmeier,https://www.youtube.com/watch?v=Oisl6nVge-A,01:11.000,01:34.000
Frank-Walter Steinmeier,https://www.youtube.com/watch?v=Oisl6nVge-A,02:13.000,02:56.000
Frank-Walter Steinmeier,https://www.youtube.com/watch?v=Oisl6nVge-A,02:56.000,03:11.000
Frank-Walter Steinmeier,https://www.youtube.com/watch?v=Oisl6nVge-A,04:38.000,04:57.000
Nancy Faeser,https://www.youtube.com/watch?v=CTTkLSmcImE,09:54.000,10:01.000
Nancy Faeser,https://www.youtube.com/watch?v=CTTkLSmcImE,10:01.000,10:10.000
Nancy Faeser,https://www.youtube.com/watch?v=CTTkLSmcImE,10:55.000,11:05.000
Nancy Faeser,https://www.youtube.com/watch?v=CTTkLSmcImE,11:54.000,12:15.000
Nancy Faeser,https://www.youtube.com/watch?v=30owz15eUYQ,02:28.000,02:33.000
Nancy Faeser,https://www.youtube.com/watch?v=30owz15eUYQ,02:35.000,02:44.000
Nancy Faeser,https://www.youtube.com/watch?v=30owz15eUYQ,02:50.000,03:00.000
Nancy Faeser,https://www.youtube.com/watch?v=30owz15eUYQ,03:14.000,03:32.000
Nancy Faeser,https://www.youtube.com/watch?v=PHrkDledbLk,00:54.000,01:01.000
Nancy Faeser,https://www.youtube.com/watch?v=PHrkDledbLk,01:01.000,01:18.000
Nancy Faeser,https://www.youtube.com/watch?v=PHrkDledbLk,01:41.000,01:50.000
Nancy Faeser,https://www.youtube.com/watch?v=PHrkDledbLk,01:50.000,01:59.000
Nancy Faeser,https://www.youtube.com/watch?v=DFgOTRZIH3c,00:48.000,01:03.000
Nancy Faeser,https://www.youtube.com/watch?v=DFgOTRZIH3c,01:09.000,01:19.000
Nancy Faeser,https://www.youtube.com/watch?v=DFgOTRZIH3c,01:19.000,01:31.000
Nancy Faeser,https://www.youtube.com/watch?v=DFgOTRZIH3c,01:32.000,01:41.000
Christine Lambrecht,https://www.youtube.com/watch?v=HF7GflSQrX0,00:40.000,00:53.000
Christine Lambrecht,https://www.youtube.com/watch?v=HF7GflSQrX0,00:54.000,01:16.000
Christine Lambrecht,https://www.youtube.com/watch?v=HF7GflSQrX0,01:39.000,02:06.000
Christine Lambrecht,https://www.youtube.com/watch?v=HF7GflSQrX0,02:41.000,02:57.000
Christine Lambrecht,https://www.youtube.com/watch?v=C6lHorj_zZw,00:11.000,00:20.000
Christine Lambrecht,https://www.youtube.com/watch?v=C6lHorj_zZw,00:20.000,00:28.000
Christine Lambrecht,https://www.youtube.com/watch?v=C6lHorj_zZw,00:28.000,00:34.000
Christine Lambrecht,https://www.youtube.com/watch?v=C6lHorj_zZw,01:06.000,01:17.000
Christine Lambrecht,https://www.youtube.com/watch?v=v5uqI2s8Iow,01:13.000,01:22.000
Christine Lambrecht,https://www.youtube.com/watch?v=v5uqI2s8Iow,01:37.000,01:45.000
Christine Lambrecht,https://www.youtube.com/watch?v=v5uqI2s8Iow,01:28.000,01:37.000
Christine Lambrecht,https://www.youtube.com/watch?v=v5uqI2s8Iow,01:45.000,01:54.000
Bettina Stark-Watzinger,https://www.youtube.com/watch?v=A-uc9Q8SvwA,00:47.000,00:58.000
Bettina Stark-Watzinger,https://www.youtube.com/watch?v=A-uc9Q8SvwA,01:57.000,02:14.000
Bettina Stark-Watzinger,https://www.youtube.com/watch?v=RigzyTCdu0k,00:26.000,00:40.000
Bettina Stark-Watzinger,https://www.youtube.com/watch?v=RigzyTCdu0k,01:02.000,01:34.000
Bettina Stark-Watzinger,https://www.youtube.com/watch?v=RigzyTCdu0k,02:01.000,02:14.000
Bettina Stark-Watzinger,https://www.youtube.com/watch?v=RigzyTCdu0k,02:29.000,02:55.000
Bettina Stark-Watzinger,https://www.youtube.com/watch?v=wnyVe4rBmP0,00:38.000,00:49.000
Bettina Stark-Watzinger,https://www.youtube.com/watch?v=wnyVe4rBmP0,01:04.000,01:13.000
Bettina Stark-Watzinger,https://www.youtube.com/watch?v=wnyVe4rBmP0,01:50.000,01:56.000
Bettina Stark-Watzinger,https://www.youtube.com/watch?v=wnyVe4rBmP0,02:04.000,02:14.000
Bettina Stark-Watzinger,https://www.youtube.com/watch?v=VRllyP46U54,00:29.000,00:42.000
Bettina Stark-Watzinger,https://www.youtube.com/watch?v=VRllyP46U54,00:59.000,01:08.000
Bettina Stark-Watzinger,https://www.youtube.com/watch?v=VRllyP46U54,01:22.000,01:31.000
Bettina Stark-Watzinger,https://www.youtube.com/watch?v=VRllyP46U54,02:40.000,02:51.000
