Speaker,URL,Start,End
Scott Morrison,https://www.youtube.com/watch?v=wMLDh7nO9-c,02:46.000,02:55.000
Scott Morrison,https://www.youtube.com/watch?v=wMLDh7nO9-c,02:55.000,03:05.000
Scott Morrison,https://www.youtube.com/watch?v=wMLDh7nO9-c,20:42.000,20:56.000
Scott Morrison,https://www.youtube.com/watch?v=wMLDh7nO9-c,02:43.000,02:56.000
Scott Morrison,https://www.youtube.com/watch?v=tCjamYtxScI,15:22.000,15:30.000
Scott Morrison,https://www.youtube.com/watch?v=tCjamYtxScI,16:20.000,16:33.000
Scott Morrison,https://www.youtube.com/watch?v=tCjamYtxScI,02:07.000,02:18.000
Scott Morrison,https://www.youtube.com/watch?v=tCjamYtxScI,16:00.000,16:08.000
Scott Morrison,https://www.youtube.com/watch?v=tCjamYtxScI,22:28.000,22:37.000
Scott Morrison,https://www.youtube.com/watch?v=tCjamYtxScI,05:05.000,05:13.000
Scott Morrison,https://www.youtube.com/watch?v=ihXvU6oOpPg,00:13.000,00:24.000
Scott Morrison,https://www.youtube.com/watch?v=ihXvU6oOpPg,00:30.000,00:39.000
Joe Biden,https://www.youtube.com/watch?v=D1-4WsevjUs,07:03.000,07:13.000
Joe Biden,https://www.youtube.com/watch?v=D1-4WsevjUs,07:49.000,07:56.000
Joe Biden,https://www.youtube.com/watch?v=D1-4WsevjUs,08:29.000,08:41.000
Joe Biden,https://www.youtube.com/watch?v=D1-4WsevjUs,00:07.000,00:19.000
Joe Biden,https://www.youtube.com/watch?v=02AFIUA9igE,15:48.000,16:02.000
Joe Biden,https://www.youtube.com/watch?v=02AFIUA9igE,22:59.000,23:07.000
Joe Biden,https://www.youtube.com/watch?v=02AFIUA9igE,15:13.000,15:20.000
Joe Biden,https://www.youtube.com/watch?v=02AFIUA9igE,15:37.000,15:45.000
Joe Biden,https://www.youtube.com/watch?v=w6faT3VOHgs,02:20.000,02:28.000
Joe Biden,https://www.youtube.com/watch?v=w6faT3VOHgs,02:54.000,03:04.000
Joe Biden,https://www.youtube.com/watch?v=w6faT3VOHgs,04:06.000,04:15.000
Joe Biden,https://www.youtube.com/watch?v=w6faT3VOHgs,11:43.000,11:56.000
Barack Obama,https://www.youtube.com/watch?v=lbwlVwNWLzU,00:36.000,00:49.000
Barack Obama,https://www.youtube.com/watch?v=lbwlVwNWLzU,02:01.000,02:09.000
Barack Obama,https://www.youtube.com/watch?v=lbwlVwNWLzU,02:28.000,02:38.000
Barack Obama,https://www.youtube.com/watch?v=lbwlVwNWLzU,03:11.000,03:27.000
Barack Obama,https://www.youtube.com/watch?v=lbwlVwNWLzU,00:49.000,01:01.000
Barack Obama,https://www.youtube.com/watch?v=lbwlVwNWLzU,01:28.000,01:35.000
Barack Obama,https://www.youtube.com/watch?v=lbwlVwNWLzU,01:42.000,01:49.000
Barack Obama,https://www.youtube.com/watch?v=8sthaV8ddJ4,00:30.000,00:41.000
Barack Obama,https://www.youtube.com/watch?v=8sthaV8ddJ4,00:45.000,00:58.000
Barack Obama,https://www.youtube.com/watch?v=O31I7PPTxVI,00:32.000,00:43.000
Barack Obama,https://www.youtube.com/watch?v=O31I7PPTxVI,00:54.000,01:06.000
Barack Obama,https://www.youtube.com/watch?v=O31I7PPTxVI,02:48.000,03:02.000
Justin Trudeau,https://www.youtube.com/watch?v=_5G4N3_9ysA,00:28.000,00:37.000
Justin Trudeau,https://www.youtube.com/watch?v=_5G4N3_9ysA,01:07.000,01:16.000
Justin Trudeau,https://www.youtube.com/watch?v=_5G4N3_9ysA,02:09.000,02:16.000
Justin Trudeau,https://www.youtube.com/watch?v=_5G4N3_9ysA,02:28.000,02:39.000
Justin Trudeau,https://www.youtube.com/watch?v=I8f5xy09oIA,00:07.000,00:13.000
Justin Trudeau,https://www.youtube.com/watch?v=I8f5xy09oIA,00:22.000,00:36.000
Justin Trudeau,https://www.youtube.com/watch?v=I8f5xy09oIA,01:52.000,02:08.000
Justin Trudeau,https://www.youtube.com/watch?v=I8f5xy09oIA,02:51.000,03:04.000
Justin Trudeau,https://www.youtube.com/watch?v=I8f5xy09oIA,05:34.000,05:47.000
Justin Trudeau,https://www.youtube.com/watch?v=lPhCuB7tqQk,00:03.000,00:12.000
Justin Trudeau,https://www.youtube.com/watch?v=lPhCuB7tqQk,00:29.000,00:39.000
Justin Trudeau,https://www.youtube.com/watch?v=lPhCuB7tqQk,00:56.000,01:04.000
Justin Trudeau,https://www.youtube.com/watch?v=lPhCuB7tqQk,01:11.000,01:20.000
Justin Trudeau,https://www.youtube.com/watch?v=CTtYe1lMA6c,00:00.000,00:10.000
Justin Trudeau,https://www.youtube.com/watch?v=CTtYe1lMA6c,00:46.000,00:58.000
Kamala Harris,https://www.youtube.com/watch?v=o2jyU3c_xaQ,01:51.000,02:08.000
