Speaker,URL,Start,End
Cem Yılmaz,https://www.youtube.com/watch?v=Ri95Syo3mE8,01:18.516,01:20.991
Cem Yılmaz,https://www.youtube.com/watch?v=Ri95Syo3mE8,01:27.244,01:34.850
Cem Yılmaz,https://www.youtube.com/watch?v=Ri95Syo3mE8,02:59.929,03:04.004
Cem Yılmaz,https://www.youtube.com/watch?v=Ri95Syo3mE8,03:32.234,03:34.027
Cem Yılmaz,https://www.youtube.com/watch?v=Ri95Syo3mE8,03:34.408,03:40.148
Cem Yılmaz,https://www.youtube.com/watch?v=VFVlAxVj-Z8,01:46.651,01:54.361
Cem Yılmaz,https://www.youtube.com/watch?v=VFVlAxVj-Z8,02:01.397,02:04.681
Cem Yılmaz,https://www.youtube.com/watch?v=VFVlAxVj-Z8,07:11.023,07:16.028
Cem Yılmaz,https://www.youtube.com/watch?v=TKHSKOExoGE,08:45.725,09:01.764
Cem Yılmaz,https://www.youtube.com/watch?v=TKHSKOExoGE,15:25.515,15:36.331

Gülse Birsel,https://www.youtube.com/watch?v=nR97D4J8AaM,02:38.192,02:46.028
Gülse Birsel,https://www.youtube.com/watch?v=nR97D4J8AaM,04:42.239,05:02.148
Gülse Birsel,https://www.youtube.com/watch?v=nR97D4J8AaM,05:29.387,05:38.122
Gülse Birsel,https://www.youtube.com/watch?v=nR97D4J8AaM,07:40.413,07:46.783
Gülse Birsel,https://www.youtube.com/watch?v=PDwfygkYMtc,00:10.467,00:12.346
Gülse Birsel,https://www.youtube.com/watch?v=PDwfygkYMtc,00:10.560,00:14.920
Gülse Birsel,https://www.youtube.com/watch?v=PDwfygkYMtc,00:18.559,00:26.412
Gülse Birsel,https://www.youtube.com/watch?v=PDwfygkYMtc,00:29.634,00:38.167
Gülse Birsel,https://www.youtube.com/watch?v=PDwfygkYMtc,00:47.587,00:56.669
Gülse Birsel,https://www.youtube.com/watch?v=PDwfygkYMtc,01:31.170,01:35.666
Gülse Birsel,https://www.youtube.com/watch?v=Ns1gWsG8-zA,00:34.055,00:38.775
Gülse Birsel,https://www.youtube.com/watch?v=Ns1gWsG8-zA,00:51.458,01:04.055
Gülse Birsel,https://www.youtube.com/watch?v=Ns1gWsG8-zA,01:05.472,01:14.091
Gülse Birsel,https://www.youtube.com/watch?v=Ns1gWsG8-zA,02:30.333,02:39.900

İlber Ortaylı,https://www.youtube.com/watch?v=igT_H6iwHjI,00:00.050,00:22.800
İlber Ortaylı,https://www.youtube.com/watch?v=igT_H6iwHjI,00:35.960,00:42.123
İlber Ortaylı,https://www.youtube.com/watch?v=igT_H6iwHjI,00:51.593,00:57.442
İlber Ortaylı,https://www.youtube.com/watch?v=igT_H6iwHjI,01:18.706,01:24.724
İlber Ortaylı,https://www.youtube.com/watch?v=cNItjjaysng,05:14.429,05:20.554
İlber Ortaylı,https://www.youtube.com/watch?v=cNItjjaysng,05:22.690,05:28.363
İlber Ortaylı,https://www.youtube.com/watch?v=cNItjjaysng,05:32.762,05:35.762
İlber Ortaylı,https://www.youtube.com/watch?v=yd1o8gVEb0U,30:06.098,30:21.240
İlber Ortaylı,https://www.youtube.com/watch?v=yd1o8gVEb0U,40:51.452,40:59.009
İlber Ortaylı,https://www.youtube.com/watch?v=yd1o8gVEb0U,58:54.760,58:59.108
İlber Ortaylı,https://www.youtube.com/watch?v=yd1o8gVEb0U,59:05.345,59:11.475
İlber Ortaylı,https://www.youtube.com/watch?v=LtrK8Xl5Jn0,03:10.217,03:16.760
İlber Ortaylı,https://www.youtube.com/watch?v=LtrK8Xl5Jn0,03:19.707,03:28.252
İlber Ortaylı,https://www.youtube.com/watch?v=LtrK8Xl5Jn0,03:44.046,03:54.734
İlber Ortaylı,https://www.youtube.com/watch?v=LtrK8Xl5Jn0,06:37.952,06:45.977

Celal Şengör,https://www.youtube.com/watch?v=oygpGZ1502M,15:35.023,15:39.430
Celal Şengör,https://www.youtube.com/watch?v=7UrVQkUeBBE,00:18.752,00:22.964
Celal Şengör,https://www.youtube.com/watch?v=7UrVQkUeBBE,00:25.382,00:29.947
Celal Şengör,https://www.youtube.com/watch?v=7UrVQkUeBBE,00:31.940,00:35.214
Celal Şengör,https://www.youtube.com/watch?v=7UrVQkUeBBE,00:42.099,00:46.058
Celal Şengör,https://www.youtube.com/watch?v=k8MtKS3VDT4,00:01.464,00:04.694
